"id","category","question","answer","keywords","location","price_krw","available_hours","visibility","notes"
"GH-001","유료 서비스","자전거 대여 비용은 얼마인가요?","자전거 대여 요금은 2,000원입니다.","자전거,대여,요금,가격","프런트","2000","","공개",""
"GH-002","유료 서비스","수건을 구매할 수 있나요?","수건은 1장당 2,000원에 판매합니다. 기본 제공되지 않으므로 개인 수건 지참을 권장합니다.","수건,판매,가격,개인지참","프런트","2000","","공개",""
"GH-003","유료 서비스","캡슐 세제는 얼마인가요?","캡슐 세제는 1개당 1,000원에 판매합니다.","세제,캡슐세제,세탁,가격","프런트","1000","","공개",""
"GH-004","인터넷","와이파이 비밀번호는 무엇인가요?","공용 와이파이 비밀번호는 bucket1234입니다.","와이파이,wifi,비밀번호,인터넷,공용","숙소 내부","","","공개","공용 정보"
"GH-005","흡연","흡연 장소는 어디인가요?","흡연 장소는 외부 테라스 왼쪽에 있습니다. 지정된 장소만 이용해 주세요.","흡연실,흡연구역,테라스","외부 테라스 왼쪽","","07:00-23:00","공개","공용공간 운영시간 적용"
"GH-006","공용공간","1층 거실에서는 무엇을 할 수 있나요?","1층 거실(스페이스룸)에서는 식사, 대화, 음주가 가능합니다. 단, 음주는 23:00 이전에만 가능합니다.","거실,스페이스룸,식사,토크,음주","1층 거실","","07:00-23:00","공개","23:00 이후 숙소 전 구역 음주 금지"
"GH-007","주방","1층 주방의 조리도구를 사용할 수 있나요?","1층 주방의 일부 조리도구는 사용할 수 있지만 업소용 화구는 사용할 수 없습니다.","주방,조리도구,화구,요리","1층 주방","","07:00-23:00","공개","업소용 화구 사용 금지"
"GH-008","주방","기본 조미료가 제공되나요?","기본 조미료는 제공하지 않습니다. 필요한 조미료와 식재료는 개인이 준비해야 합니다.","조미료,식재료,주방,준비물","1층 주방","","07:00-23:00","공개",""
"GH-009","편의시설","정수기는 어디에 있나요?","정수기는 1층 식당 안에 있습니다.","정수기,물,식당","1층 식당","","상시 사용 가능","공개","23:00 이후에도 사용 가능하지만 가능한 한 이전 이용 권장"
"GH-010","세탁","세탁실은 어디에 있나요?","세탁실은 1층 식당 안쪽에 있습니다.","세탁실,위치,식당","1층 식당 안쪽","","07:00-23:00","공개",""
"GH-011","세탁","세탁기를 무료로 사용할 수 있나요?","세탁기는 무료로 사용할 수 있습니다.","세탁기,무료,세탁","세탁실","","07:00-23:00","공개",""
"GH-012","편의시설","냉장고를 무료로 사용할 수 있나요?","냉장고는 무료로 사용할 수 있습니다.","냉장고,무료,보관","1층","","07:00-23:00","공개",""
"GH-013","쓰레기","쓰레기는 어디에 버리나요?","분리수거와 일반쓰레기 배출 장소는 세탁실 안쪽에 있습니다.","분리수거,일반쓰레기,쓰레기","세탁실 안쪽","","07:00-23:00","공개",""
"GH-014","공용공간","피아노를 사용할 수 있나요?","1층 로비의 피아노를 사용할 수 있습니다.","피아노,로비,악기","1층 로비","","07:00-23:00","공개","다른 투숙객에게 피해가 없도록 이용"
"GH-015","공용공간","코워킹마루를 사용할 수 있나요?","1.5층 코워킹마루는 자유롭게 사용할 수 있습니다.","코워킹,마루,업무,공용공간","1.5층 코워킹마루","","07:00-23:00","공개",""
"GH-016","공용공간","빔프로젝터를 사용할 수 있나요?","1층 외부 랩실의 빔프로젝터를 자유롭게 사용할 수 있습니다.","빔프로젝터,랩실,프로젝터","1층 외부 랩실","","07:00-23:00","공개",""
"GH-017","운영시간","공용공간 이용 시간은 언제인가요?","모든 공용공간은 07:00부터 23:00까지만 이용할 수 있습니다.","공용공간,이용시간,운영시간","숙소 공용공간","","07:00-23:00","공개","정수기와 공용화장실은 예외"
"GH-018","운영시간","23시 이후에도 정수기와 공용화장실을 이용할 수 있나요?","23:00 이후에도 정수기와 공용화장실은 이용할 수 있습니다. 다만 가능한 한 23:00 이전 이용을 권장합니다.","23시,정수기,공용화장실,야간","1층 식당 및 공용화장실","","상시 사용 가능","공개","야간에는 정숙하게 이용"
